Tên,Đơn giá
Vitamin A 100v,300
Vitamin B1 250 mg,200
MgB6 100v,200
B12 (VP),1200
B12 viên 100v (HS),1000
Bcozym,2500
Vitamin C 500mg 100v,300
Calci D 100v,200
Canxi sủi,4300
Calci 10A,11500
Calci 10A,2400
Vitamin E (USP),500
Vitamin E (RBS),500
Zn 100v (DHG),500
Zn 100v (AG),400
Multi vitamin,200
Amlodipin 5 mg 30v,700
Nifedipin 20mg,600
Losartan 50mg 30v,900
Losartan 50mg 50v,2100
Vansartan 80mg,2400
Captopril 25 mg,500
Bisoprolol 2.5 mg 50v,1100
Bisoprolol 5mg 50v,1500
Hypochlorothiazid 25 mg 100v,200
Aspirin 81 mg 100v,300
Clopidogel 75mg 30v,1600
Atorvastatin 20 mg 30v,800
Fenofibrat 160mg,2500
ISDN 10mg,500
Trimetazidim 20,400
Furosemid 40 mg,400
Furosemid 20mg,6000
Sipronolacton 25 mg 100v,1400
Digoxin 0.25 mg 30v,800
Daflon (ĐN),1200
Daflon 100v (BV),1000
Transamin 250mg,2300
Claminat 250,4300
Ofmentin 1000 mg,3800
Ofmentin 625mg,5000
Ciprofloxacin 500 mg 20v,1500
Levofloxacin 500 mg,4000
Clariromycin 500 mg 28v,5200
Cefpo 200mg,6000
Azithromycin ,3700
Moxi 400 mg,18800
Cefdinir 300mg,5500
Cefdinir 125,2400
Metronidazol 500mg 100v,800
Methylprednisolon 16 30v (DHG),2300
Methylprednisolon 16 30v (PY),2500
Prednisolon 5 mg,300
Alphachymotrypsin 200v (AC),200
Alphachymotrypsin 200v (ST),300
Hydrocortison 100 mg,10000
Salbutamol 2 mg,400
Paracetamol 500mg 500v,200
Paracetamol 500mg sủi 16v,3100
Dextromethorphan 15 mg 100v,400
Clopheniramin 4 mg 200v,200
Fexofenadine 60 200v,600
Monteluskas 5mg 30v (TV),1500
Monteluskas 5mg 30v (Trà Vinh),1500
Brom 8mg 30v,500
Mitux,1200
Omeprazol 20 mg 100v (DHG),700
Omeprazol 20 mg 100v (KH),200
Esomeprazol 20 mg 28v,3100
Esomeprazol 40mg,6300
Rebamipid 100 50v,2100
Domperidone 10 mg,300
Primperan 10 mg A,2400
Alverin 40mg,1000
Nospa 40mg 25A,600
Remin S 100v,1100
Enterpass,800
Men peptin 100v,800
Pansicon,700
Probio,1400
Smecta,2000
Trimebutin 100 mg 100v,800
Trimebutin 200mg,1000
Sulpirid 50 mg,500
Duphalac 20g,6500
Fruzitin 30v,300
Sylimarin 70mg,1000
Sylimarin 140mg,1400
Arginin 60v,1000
Piracetam 1g 12A (PY),6500
Piracetam 1g 12A (KB),3700
Nacetyl DL leucine 500mg 50v,1700
Piracetam 0.8 g 30v,900
Cinarizin 25 mg 30v,500
Betaserc 16mg 60v,1300
Cere 10mg,115000
Depakin 200mg,12500
Diamicron 60 mg 60v,1600
Diamicron 60 mg 30v,2600
Metformin 1000 30v,1400
Gabapentin 300 mg,4700
Gabapentin 100v,800
PTU,600
Paracodein 100v,700
ParaIburophen,600
Para Tramadol 20v,1600
Nefopam 30v,700
Meloxicam 7.5mg 20v,700
Melo 15mg 3A,2900
Eperison 50mg,1300
Piroxicam 20 mg 10A,5500
Mobic,24000
Melo 15mg,5100
Allopurinol,1000
Diacerin 50mg 100v,1500
Domitazol,2200
Avodart,75000
Solifenacin 5mg 30v,4600
Stilux,900
Lexomil 30v,4900
Olanzapin 5mg 30v,800
Tobrex,42000
Tobramicin,12000
Gerdogyl (ĐN),800
Gerdogyl (HT),700
Nystatin ,1500
Darktarin,46000
Đẹn Thái,10000
Gentrisone,14500
Acir Clovir 800 mg,3800
Milian,6500
Povidin,4500
Amino,86000
Chiamin,84000
Pantogen 250ml,56000
Natri 0.9% 500ml,13000
Natri 0.9% 100 ml,11000
Nước cất 5ml,900
Lactat,24000
Que allcall 50q,2900
Que allcall 25q,5400
Kim tròn 100c,200
Ống tiêm 5 100c,700
Băng keo 2.5 x 5,14000
Kim vàng,3000
Dây truyền dịch 25d,3200
Găng tay,5500
